module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
LiquidLogicLabs PM,l3io-pm-setup,Setup,SPM,"Record l3io-pm's project-level settings in the two human-authored BMad config layers and register its capabilities for the help system. Runs only on an explicit setup/configure/install request — never implicitly.",configure,,anytime,,l3io-pm-plan:plan,false,_bmad/custom,"config.toml and config.user.toml entries under [modules.l3io-pm]"
LiquidLogicLabs PM,l3io-pm-plan,Plan,LPP,"Validate readiness, elaborate stories, compute estimates, build dependency graph, and produce an executable phased parallel execution plan.",plan,,planning,l3io-pm-help:status,l3io-pm-execute:execute,true,planning_artifacts,"plan-{date}-v{n}.yaml, plan-output-meta.yaml, elaboration-summary.md, readiness-report.md"
LiquidLogicLabs PM,l3io-pm-plan,Estimate,LPM,"Re-estimate all unstarted work using current calibration data. Optionally scope to a specific epic or sprint.",estimate,[E{nnn}|E{nnn}-S{nn}],anytime,,l3io-pm-execute:execute,false,{implementation_artifacts}/state,"estimate blocks written into epic.yaml, sprint.yaml and the story node files; summary table printed to console"
LiquidLogicLabs PM,l3io-pm-execute,Execute,LPE,"Run the l3io-pm plan — full run or scoped to a single epic or sprint. Dispatches sprint subagents with context injection and writes actuals to state.",execute,[E{nnn}|E{nnn}-S{nn}],execution,l3io-pm-plan:plan,l3io-pm-sync:sync,false,implementation_artifacts,"epic-{nnn}/sprint-{nn}/stories/, epic-{nnn}/sprint-{nn}/closure/, epic-{nnn}/epic-closure/"
LiquidLogicLabs PM,l3io-pm-help,Help,LPH,"Show project health snapshot and recommend the exact next l3io-pm action based on current state.",status,,anytime,,l3io-pm-plan:plan,false,,health summary printed to console
LiquidLogicLabs PM,l3io-pm-sync,Sync Setup,LPS,"Detect the GitHub sync platform from the git remote, verify auth, verify/create sync-state.yaml.",setup,,anytime,,,false,_bmad,"sync-config.yaml (optional), sync-state.yaml"
LiquidLogicLabs PM,l3io-pm-sync,Sync Push,LPU,"Push l3io-pm state as work items to the configured external platform.",push,,anytime,l3io-pm-sync:setup,,false,,sync report
LiquidLogicLabs PM,l3io-pm-sync,Sync Pull,LPL,"Pull status updates from external work items back into l3io-pm state.",pull,,anytime,l3io-pm-sync:setup,,false,,sync report
LiquidLogicLabs PM,l3io-pm-sync,Sync,LPC,"Bidirectional sync — push local changes then pull remote updates.",sync,,anytime,l3io-pm-sync:setup,,false,,sync report
LiquidLogicLabs PM,l3io-pm-sync,Sync Status,LPT,"Show sync state, ID mapping, and local drift since last sync.",status,,anytime,l3io-pm-sync:setup,,false,,drift report printed to console
